hex,flight,registration,aircraft,departure_time,departure_lat,departure_lon,departure_iata,departure_name,arrival_time,arrival_lat,arrival_lon,arrival_name,arrival_iata,airline,likely_departure_destination,likely_arrival_destination
a75013,TYSON41 ,N570TA,A321,00:02.1,31.363174,-92.580521,AEX,Alexandria International Airport,30:02.9,12.141045,-86.163185,Augusto C Sandino International Airport,MGA,Global X Airlines,Central Louisiana ICE Processing Center,Augusto C Sandino International Airport
a1f3aa,,N225AX,B762,00:02.4,33.000858,-97.309822,AFW,Fort Worth Alliance Airport,30:02.3,42.934273,-71.433502,Manchester Boston Regional Airport,MHT,Omni Air International,Fort Worth Alliance Airport,Manchester Boston Regional Airport
a1f3aa,,N225AX,B762,00:02.4,33.000858,-97.309822,AFW,Fort Worth Alliance Airport,30:02.3,42.934273,-71.433502,Manchester Boston Regional Airport,MHT,Omni Air International,Fort Worth Alliance Airport,Manchester Boston Regional Airport
a2c129,GXA106  ,N277GX,A321,00:03.3,42.466324,-71.280159,BED,Hanscom Field,30:02.6,25.804907,-80.265701,Miami International Airport,MIA,Global X Airlines,None,Krome North Service Processing Center
a2c129,,N277GX,A321,00:02.1,31.800922,-106.388817,ELP,El Paso International Airport,30:02.1,25.804848,-80.265678,Miami International Airport,MIA,Global X Airlines,El Paso Service Processing Center,Krome North Service Processing Center
a835d1,TYSON46 ,N628VA,A320,30:03.1,26.254391,-97.658424,HRL,Valley International Airport,00:04.9,25.789915,-80.280327,Miami International Airport,MIA,Global X Airlines,El Valle Detention Facility,Krome North Service Processing Center
a2d25e,,N281GX,A320,00:02.6,5.452744,-55.212257,PBM,Zanderij International Airport,00:02.6,25.790127,-80.272163,Miami International Airport,MIA,Global X Airlines,Zanderij International Airport,Krome North Service Processing Center
a2d25e,GXA4611 ,N281GX,A320,00:02.0,35.019882,-89.972366,MEM,Memphis International Airport,00:03.1,25.793209,-80.279312,Miami International Airport,MIA,Global X Airlines,Memphis International Airport,Krome North Service Processing Center
a2c129,GXA106  ,N277GX,A321,00:03.3,42.466324,-71.280159,BED,Hanscom Field,30:02.6,25.804907,-80.265701,Miami International Airport,MIA,Global X Airlines,None,Krome North Service Processing Center
a2c129,,N277GX,A321,00:02.1,31.800922,-106.388817,ELP,El Paso International Airport,30:02.1,25.804848,-80.265678,Miami International Airport,MIA,Global X Airlines,El Paso Service Processing Center,Krome North Service Processing Center
